Report_Year,Census_Tract_1990,Crime_Type,Report_Year_Total
1998,13,Homicide,0
1998,13,NonResidential Burglary,21
1998,13,Property Crimes Total,387
1998,13,Rape,4
1998,13,Residential Burglary,33
1998,13,Robbery,13
1998,13,Theft,261
1998,13,Vehicle Theft,69
1998,13,Violent Crimes Total,47
1998,14,Aggravated Assault,6
1998,14,Homicide,1
1998,14,NonResidential Burglary,12
1998,14,Property Crimes Total,292
1998,14,Rape,1
1998,14,Residential Burglary,34
1998,14,Robbery,6
1998,14,Theft,200
1998,14,Vehicle Theft,45
1998,14,Violent Crimes Total,14
1998,15,Aggravated Assault,0
1998,15,Homicide,0
1998,15,NonResidential Burglary,-1
1998,15,Property Crimes Total,47
1998,15,Rape,0
1998,15,Residential Burglary,9
1998,15,Robbery,1
1998,15,Theft,32
1998,15,Vehicle Theft,7
1998,15,Violent Crimes Total,1
1998,16,Aggravated Assault,5
1998,16,Homicide,0
1998,16,NonResidential Burglary,4
1998,16,Property Crimes Total,154
1998,16,Rape,0
1998,16,Residential Burglary,15
1998,16,Robbery,5
1998,16,Theft,101
1998,16,Vehicle Theft,33
1998,16,Violent Crimes Total,10
1998,17,Aggravated Assault,25
1998,17,Homicide,1
1998,17,NonResidential Burglary,30
1998,17,Property Crimes Total,557
1998,17,Rape,2
1998,17,Residential Burglary,68
1998,17,Robbery,24
1998,17,Theft,348
1998,17,Vehicle Theft,111
1998,17,Violent Crimes Total,52
1998,18,Aggravated Assault,32
1998,18,Homicide,0
1998,18,NonResidential Burglary,11
1998,18,Property Crimes Total,314
1998,18,Rape,3
1998,18,Residential Burglary,43
1998,18,Robbery,14
1998,18,Theft,173
1998,18,Vehicle Theft,87
1998,18,Violent Crimes Total,49
1998,19,Aggravated Assault,2
1998,19,Homicide,0
1998,19,NonResidential Burglary,7
1998,19,Property Crimes Total,226
1998,19,Rape,0
1998,19,Residential Burglary,17
1998,19,Robbery,7
1998,19,Theft,142
1998,19,Vehicle Theft,60
1998,19,Violent Crimes Total,9
1998,2,Aggravated Assault,13
1998,2,Homicide,1
1998,2,NonResidential Burglary,6
1998,2,Property Crimes Total,316
1998,2,Rape,2
1998,2,Residential Burglary,52
1998,2,Robbery,7
1998,2,Theft,208
1998,2,Vehicle Theft,48
1998,2,Violent Crimes Total,23
1998,20,Aggravated Assault,0
1998,20,Homicide,0
1998,20,NonResidential Burglary,6
1998,20,Property Crimes Total,201
1998,20,Rape,0
1998,20,Residential Burglary,20
1998,20,Robbery,5
1998,20,Theft,128
1998,20,Vehicle Theft,46
1998,20,Violent Crimes Total,5
1998,21,Aggravated Assault,3
1998,21,Homicide,0
1998,21,NonResidential Burglary,8
1998,21,Property Crimes Total,151
1998,21,Rape,0
1998,21,Residential Burglary,23
1998,21,Robbery,2
1998,21,Theft,92
1998,21,Vehicle Theft,27
1998,21,Violent Crimes Total,5
1998,22,Aggravated Assault,2
1998,22,Homicide,0
1998,22,NonResidential Burglary,6
1998,22,Property Crimes Total,134
1998,22,Rape,0
1998,22,Residential Burglary,17
1998,22,Robbery,2
1998,22,Theft,91
1998,22,Vehicle Theft,20
1998,22,Violent Crimes Total,4
1998,23.98,Aggravated Assault,0
1998,23.98,Homicide,0
1998,23.98,NonResidential Burglary,4
1998,23.98,Property Crimes Total,47
1998,23.98,Rape,0
1998,23.98,Residential Burglary,1
1998,23.98,Robbery,0
1998,23.98,Theft,38
1998,23.98,Vehicle Theft,4
1998,23.98,Violent Crimes Total,0
1998,24,Aggravated Assault,0
1998,24,Homicide,0
1998,24,NonResidential Burglary,4
1998,24,Property Crimes Total,96
1998,24,Rape,0
1998,24,Residential Burglary,14
1998,24,Robbery,2
1998,24,Theft,67
1998,24,Vehicle Theft,10
1998,24,Violent Crimes Total,2
1998,25,Aggravated Assault,2
1998,25,Homicide,0
1998,25,NonResidential Burglary,2
1998,25,Property Crimes Total,59
1998,25,Rape,0
1998,25,Residential Burglary,10
1998,25,Robbery,0
1998,25,Theft,39
1998,25,Vehicle Theft,7
1998,25,Violent Crimes Total,2
1998,26,Aggravated Assault,13
1998,26,Homicide,0
1998,26,NonResidential Burglary,10
1998,26,Property Crimes Total,373
1998,26,Rape,1
1998,26,Residential Burglary,48
1998,26,Robbery,11
1998,26,Theft,243
1998,26,Vehicle Theft,72
1998,26,Violent Crimes Total,25
1998,27,Aggravated Assault,2
1998,27,Homicide,0
1998,27,NonResidential Burglary,11
1998,27,Property Crimes Total,370
1998,27,Rape,0
1998,27,Residential Burglary,52
1998,27,Robbery,4
1998,27,Theft,253
1998,27,Vehicle Theft,53
1998,27,Violent Crimes Total,6
1998,28,Aggravated Assault,4
1998,28,Homicide,0
1998,28,NonResidential Burglary,12
1998,28,Property Crimes Total,283
1998,28,Rape,0
1998,28,Residential Burglary,31
1998,28,Robbery,5
1998,28,Theft,186
1998,28,Vehicle Theft,50
1998,28,Violent Crimes Total,9
1998,29,Aggravated Assault,2
1998,29,Homicide,0
1998,29,NonResidential Burglary,20
1998,29,Property Crimes Total,269
1998,29,Rape,0
1998,29,Residential Burglary,47
1998,29,Robbery,2
1998,29,Theft,145
1998,29,Vehicle Theft,57
1998,29,Violent Crimes Total,4
1998,3,Aggravated Assault,4
1998,3,Homicide,0
1998,3,NonResidential Burglary,4
1998,3,Property Crimes Total,120
1998,3,Rape,0
1998,3,Residential Burglary,16
1998,3,Robbery,1
1998,3,Theft,76
1998,3,Vehicle Theft,24
1998,3,Violent Crimes Total,5
1998,30,Aggravated Assault,10
1998,30,Homicide,1
1998,30,NonResidential Burglary,17
1998,30,Property Crimes Total,318
1998,30,Rape,0
1998,30,Residential Burglary,26
1998,30,Robbery,7
1998,30,Theft,205
1998,30,Vehicle Theft,70
1998,30,Violent Crimes Total,18
1998,31,Aggravated Assault,7
1998,31,Homicide,0
1998,31,NonResidential Burglary,10
1998,31,Property Crimes Total,263
1998,31,Rape,1
1998,31,Residential Burglary,28
1998,31,Robbery,4
1998,31,Theft,191
1998,31,Vehicle Theft,34
1998,31,Violent Crimes Total,12
1998,32,Aggravated Assault,16
1998,32,Homicide,0
1998,32,NonResidential Burglary,19
1998,32,Property Crimes Total,364
1998,32,Rape,1
1998,32,Residential Burglary,30
1998,32,Robbery,5
1998,32,Theft,246
1998,32,Vehicle Theft,66
1998,32,Violent Crimes Total,22
1998,33,Aggravated Assault,9
1998,33,Homicide,0
1998,33,NonResidential Burglary,14
1998,33,Property Crimes Total,278
1998,33,Rape,1
1998,33,Residential Burglary,26
1998,33,Robbery,4
1998,33,Theft,178
1998,33,Vehicle Theft,59
1998,33,Violent Crimes Total,14
1998,34,Aggravated Assault,3
1998,34,Homicide,1
1998,34,NonResidential Burglary,6
1998,34,Property Crimes Total,153
1998,34,Rape,0
1998,34,Residential Burglary,16
1998,34,Robbery,2
1998,34,Theft,101
1998,34,Vehicle Theft,30
1998,34,Violent Crimes Total,6
1998,35,Aggravated Assault,3
1998,35,Homicide,0
1998,35,NonResidential Burglary,4
1998,35,Property Crimes Total,243
1998,35,Rape,0
1998,35,Residential Burglary,23
1998,35,Robbery,5
1998,35,Theft,172
1998,35,Vehicle Theft,44
1998,35,Violent Crimes Total,8
1998,36,Aggravated Assault,4
1998,36,Homicide,0
1998,36,NonResidential Burglary,16
1998,36,Property Crimes Total,603
1998,36,Rape,1
1998,36,Residential Burglary,93
1998,36,Robbery,11
1998,36,Theft,397
1998,36,Vehicle Theft,95
1998,36,Violent Crimes Total,16
1998,37,Aggravated Assault,1
1998,37,Homicide,0
1998,37,NonResidential Burglary,0
1998,37,Property Crimes Total,85
1998,37,Rape,0
1998,37,Residential Burglary,12
1998,37,Robbery,1
1998,37,Theft,62
1998,37,Vehicle Theft,11
1998,37,Violent Crimes Total,2
1998,38,Aggravated Assault,4
1998,38,Homicide,0
1998,38,NonResidential Burglary,7
1998,38,Property Crimes Total,91
1998,38,Rape,0
1998,38,Residential Burglary,7
1998,38,Robbery,3
1998,38,Theft,64
1998,38,Vehicle Theft,12
1998,38,Violent Crimes Total,7
1998,39,Aggravated Assault,1
1998,39,Homicide,0
1998,39,NonResidential Burglary,3
1998,39,Property Crimes Total,95
1998,39,Rape,0
1998,39,Residential Burglary,6
1998,39,Robbery,2
1998,39,Theft,63
1998,39,Vehicle Theft,23
1998,39,Violent Crimes Total,3
1998,4,Aggravated Assault,29
1998,4,Homicide,0
1998,4,NonResidential Burglary,31
1998,4,Property Crimes Total,574
1998,4,Rape,5
1998,4,Residential Burglary,49
1998,4,Robbery,11
1998,4,Theft,365
1998,4,Vehicle Theft,128
1998,4,Violent Crimes Total,45
1998,40.98,Aggravated Assault,0
1998,40.98,Homicide,0
1998,40.98,NonResidential Burglary,1
1998,40.98,Property Crimes Total,67
1998,40.98,Rape,0
1998,40.98,Residential Burglary,9
1998,40.98,Robbery,0
1998,40.98,Theft,44
1998,40.98,Vehicle Theft,12
1998,40.98,Violent Crimes Total,0
1998,41,Aggravated Assault,5
1998,41,Homicide,0
1998,41,NonResidential Burglary,12
1998,41,Property Crimes Total,179
1998,41,Rape,0
1998,41,Residential Burglary,18
1998,41,Robbery,3
1998,41,Theft,117
1998,41,Vehicle Theft,29
1998,41,Violent Crimes Total,8
1998,42,Aggravated Assault,0
1998,42,Homicide,0
1998,42,NonResidential Burglary,4
1998,42,Property Crimes Total,263
1998,42,Rape,0
1998,42,Residential Burglary,30
1998,42,Robbery,3
1998,42,Theft,185
1998,42,Vehicle Theft,44
1998,42,Violent Crimes Total,3
1998,43,Aggravated Assault,15
1998,43,Homicide,0
1998,43,NonResidential Burglary,5
1998,43,Property Crimes Total,582
1998,43,Rape,2
1998,43,Residential Burglary,61
1998,43,Robbery,12
1998,43,Theft,439
1998,43,Vehicle Theft,77
1998,43,Violent Crimes Total,29
1998,44,Aggravated Assault,25
1998,44,Homicide,0
1998,44,NonResidential Burglary,20
1998,44,Property Crimes Total,626
1998,44,Rape,1
1998,44,Residential Burglary,132
1998,44,Robbery,15
1998,44,Theft,376
1998,44,Vehicle Theft,95
1998,44,Violent Crimes Total,41
1998,45,Aggravated Assault,7
1998,45,Homicide,0
1998,45,NonResidential Burglary,5
1998,45,Property Crimes Total,171
1998,45,Rape,0
1998,45,Residential Burglary,42
1998,45,Robbery,0
1998,45,Theft,84
1998,45,Vehicle Theft,40
1998,45,Violent Crimes Total,7
1998,46,Aggravated Assault,4
1998,46,Homicide,0
1998,46,NonResidential Burglary,8
1998,46,Property Crimes Total,310
1998,46,Rape,0
1998,46,Residential Burglary,29
1998,46,Robbery,5
1998,46,Theft,234
1998,46,Vehicle Theft,39
1998,46,Violent Crimes Total,9
1998,47,Aggravated Assault,19
1998,47,Homicide,0
1998,47,NonResidential Burglary,53
1998,47,Property Crimes Total,557
1998,47,Rape,1
1998,47,Residential Burglary,39
1998,47,Robbery,21
1998,47,Theft,407
1998,47,Vehicle Theft,55
1998,47,Violent Crimes Total,41
1998,48,Aggravated Assault,2
1998,48,Homicide,0
1998,48,NonResidential Burglary,12
1998,48,Property Crimes Total,291
1998,48,Rape,0
1998,48,Residential Burglary,35
1998,48,Robbery,3
1998,48,Theft,187
1998,48,Vehicle Theft,55
1998,48,Violent Crimes Total,5
1998,49,Aggravated Assault,13
1998,49,Homicide,0
1998,49,NonResidential Burglary,23
1998,49,Property Crimes Total,508
1998,49,Rape,2
1998,49,Residential Burglary,86
1998,49,Robbery,7
1998,49,Theft,318
1998,49,Vehicle Theft,81
1998,49,Violent Crimes Total,22
1998,5,Aggravated Assault,3
1998,5,Homicide,0
1998,5,NonResidential Burglary,3
1998,5,Property Crimes Total,98
1998,5,Rape,1
1998,5,Residential Burglary,28
1998,5,Robbery,0
1998,5,Theft,56
1998,5,Vehicle Theft,10
1998,5,Violent Crimes Total,4
1998,50,Aggravated Assault,9
1998,50,Homicide,0
1998,50,NonResidential Burglary,22
1998,50,Property Crimes Total,296
1998,50,Rape,2
1998,50,Residential Burglary,29
1998,50,Robbery,9
1998,50,Theft,186
1998,50,Vehicle Theft,58
1998,50,Violent Crimes Total,20
1998,51,Aggravated Assault,14
1998,51,Homicide,0
1998,51,NonResidential Burglary,5
1998,51,Property Crimes Total,277
1998,51,Rape,1
1998,51,Residential Burglary,32
1998,51,Robbery,6
1998,51,Theft,190
1998,51,Vehicle Theft,49
1998,51,Violent Crimes Total,21
1998,52,Aggravated Assault,14
1998,52,Homicide,0
1998,52,NonResidential Burglary,16
1998,52,Property Crimes Total,681
1998,52,Rape,2
1998,52,Residential Burglary,96
1998,52,Robbery,12
1998,52,Theft,456
1998,52,Vehicle Theft,112
1998,52,Violent Crimes Total,28
1998,53.01,Aggravated Assault,63
1998,53.01,Homicide,0
1998,53.01,NonResidential Burglary,30
1998,53.01,Property Crimes Total,937
1998,53.01,Rape,2
1998,53.01,Residential Burglary,55
1998,53.01,Robbery,40
1998,53.01,Theft,759
1998,53.01,Vehicle Theft,93
1998,53.01,Violent Crimes Total,105
1998,53.02,Aggravated Assault,3
1998,53.02,Homicide,0
1998,53.02,NonResidential Burglary,3
1998,53.02,Property Crimes Total,37
1998,53.02,Rape,0
1998,53.02,Residential Burglary,0
1998,53.02,Robbery,3
1998,53.02,Theft,27
1998,53.02,Vehicle Theft,7
1998,53.02,Violent Crimes Total,6
1998,54,Aggravated Assault,12
1998,54,Homicide,3
1998,54,NonResidential Burglary,34
1998,54,Property Crimes Total,409
1998,54,Rape,0
1998,54,Residential Burglary,38
1998,54,Robbery,3
1998,54,Theft,251
1998,54,Vehicle Theft,84
1998,54,Violent Crimes Total,18
1998,55,Aggravated Assault,0
1998,55,Homicide,0
1998,55,NonResidential Burglary,1
1998,55,Property Crimes Total,52
1998,55,Rape,0
1998,55,Residential Burglary,0
1998,55,Robbery,1
1998,55,Theft,51
1998,55,Vehicle Theft,0
1998,55,Violent Crimes Total,1
1998,56,Aggravated Assault,1
1998,56,Homicide,0
1998,56,NonResidential Burglary,3
1998,56,Property Crimes Total,150
1998,56,Rape,0
1998,56,Residential Burglary,24
1998,56,Robbery,1
1998,56,Theft,99
1998,56,Vehicle Theft,24
1998,56,Violent Crimes Total,2
1998,57,Aggravated Assault,1
1998,57,Homicide,0
1998,57,NonResidential Burglary,10
1998,57,Property Crimes Total,166
1998,57,Rape,0
1998,57,Residential Burglary,26
1998,57,Robbery,2
1998,57,Theft,104
1998,57,Vehicle Theft,24
1998,57,Violent Crimes Total,3
1998,58.01,Aggravated Assault,7
1998,58.01,Homicide,0
1998,58.01,NonResidential Burglary,16
1998,58.01,Property Crimes Total,239
1998,58.01,Rape,1
1998,58.01,Residential Burglary,18
1998,58.01,Robbery,3
1998,58.01,Theft,160
1998,58.01,Vehicle Theft,45
1998,58.01,Violent Crimes Total,11
1998,58.02,Aggravated Assault,9
1998,58.02,Homicide,0
1998,58.02,NonResidential Burglary,27
1998,58.02,Property Crimes Total,240
1998,58.02,Rape,1
1998,58.02,Residential Burglary,22
1998,58.02,Robbery,5
1998,58.02,Theft,147
1998,58.02,Vehicle Theft,41
1998,58.02,Violent Crimes Total,15
1998,59,Aggravated Assault,3
1998,59,Homicide,0
1998,59,NonResidential Burglary,5
1998,59,Property Crimes Total,287
1998,59,Rape,1
1998,59,Residential Burglary,35
1998,59,Robbery,0
1998,59,Theft,189
1998,59,Vehicle Theft,58
1998,59,Violent Crimes Total,4
1998,6,Aggravated Assault,16
1998,6,Homicide,0
1998,6,NonResidential Burglary,36
1998,6,Property Crimes Total,546
1998,6,Rape,4
1998,6,Residential Burglary,47
1998,6,Robbery,22
1998,6,Theft,354
1998,6,Vehicle Theft,106
1998,6,Violent Crimes Total,42
1998,60,Aggravated Assault,6
1998,60,Homicide,0
1998,60,NonResidential Burglary,12
1998,60,Property Crimes Total,278
1998,60,Rape,1
1998,60,Residential Burglary,24
1998,60,Robbery,2
1998,60,Theft,164
1998,60,Vehicle Theft,77
1998,60,Violent Crimes Total,9
1998,61,Aggravated Assault,8
1998,61,Homicide,0
1998,61,NonResidential Burglary,11
1998,61,Property Crimes Total,377
1998,61,Rape,0
1998,61,Residential Burglary,50
1998,61,Robbery,2
1998,61,Theft,228
1998,61,Vehicle Theft,88
1998,61,Violent Crimes Total,10
1998,62,Aggravated Assault,10
1998,62,Homicide,0
1998,62,NonResidential Burglary,8
1998,62,Property Crimes Total,316
1998,62,Rape,1
1998,62,Residential Burglary,53
1998,62,Robbery,4
1998,62,Theft,209
1998,62,Vehicle Theft,46
1998,62,Violent Crimes Total,15
1998,63,Aggravated Assault,4
1998,63,Homicide,0
1998,63,NonResidential Burglary,19
1998,63,Property Crimes Total,242
1998,63,Rape,0
1998,63,Residential Burglary,25
1998,63,Robbery,1
1998,63,Theft,165
1998,63,Vehicle Theft,33
1998,63,Violent Crimes Total,5
1998,64,Aggravated Assault,3
1998,64,Homicide,0
1998,64,NonResidential Burglary,7
1998,64,Property Crimes Total,179
1998,64,Rape,0
1998,64,Residential Burglary,33
1998,64,Robbery,2
1998,64,Theft,101
1998,64,Vehicle Theft,38
1998,64,Violent Crimes Total,5
1998,65,Aggravated Assault,5
1998,65,Homicide,0
1998,65,NonResidential Burglary,4
1998,65,Property Crimes Total,293
1998,65,Rape,2
1998,65,Residential Burglary,46
1998,65,Robbery,7
1998,65,Theft,179
1998,65,Vehicle Theft,62
1998,65,Violent Crimes Total,14
1998,66,Aggravated Assault,6
1998,66,Homicide,0
1998,66,NonResidential Burglary,22
1998,66,Property Crimes Total,406
1998,66,Rape,0
1998,66,Residential Burglary,30
1998,66,Robbery,3
1998,66,Theft,286
1998,66,Vehicle Theft,68
1998,66,Violent Crimes Total,9
1998,67.98,Aggravated Assault,9
1998,67.98,Homicide,0
1998,67.98,NonResidential Burglary,22
1998,67.98,Property Crimes Total,658
1998,67.98,Rape,2
1998,67.98,Residential Burglary,38
1998,67.98,Robbery,5
1998,67.98,Theft,449
1998,67.98,Vehicle Theft,147
1998,67.98,Violent Crimes Total,16
1998,68.98,Aggravated Assault,1
1998,68.98,Homicide,0
1998,68.98,NonResidential Burglary,6
1998,68.98,Property Crimes Total,148
1998,68.98,Rape,0
1998,68.98,Residential Burglary,11
1998,68.98,Robbery,3
1998,68.98,Theft,102
1998,68.98,Vehicle Theft,29
1998,68.98,Violent Crimes Total,4
1998,69,Aggravated Assault,11
1998,69,Homicide,0
1998,69,NonResidential Burglary,5
1998,69,Property Crimes Total,216
1998,69,Rape,0
1998,69,Residential Burglary,24
1998,69,Robbery,0
1998,69,Theft,128
1998,69,Vehicle Theft,56
1998,69,Violent Crimes Total,11
1998,7,Aggravated Assault,10
1998,7,Homicide,0
1998,7,NonResidential Burglary,14
1998,7,Property Crimes Total,269
1998,7,Rape,1
1998,7,Residential Burglary,23
1998,7,Robbery,13
1998,7,Theft,179
1998,7,Vehicle Theft,52
1998,7,Violent Crimes Total,24
1998,70,Aggravated Assault,6
1998,70,Homicide,1
1998,70,NonResidential Burglary,11
1998,70,Property Crimes Total,706
1998,70,Rape,0
1998,70,Residential Burglary,116
1998,70,Robbery,8
1998,70,Theft,499
1998,70,Vehicle Theft,79
1998,70,Violent Crimes Total,15
1998,71,Aggravated Assault,26
1998,71,Homicide,0
1998,71,NonResidential Burglary,31
1998,71,Property Crimes Total,693
1998,71,Rape,0
1998,71,Residential Burglary,15
1998,71,Robbery,11
1998,71,Theft,573
1998,71,Vehicle Theft,74
1998,71,Violent Crimes Total,37
1998,72,Aggravated Assault,64
1998,72,Homicide,4
1998,72,NonResidential Burglary,74
1998,72,Property Crimes Total,1192
1998,72,Rape,8
1998,72,Residential Burglary,19
1998,72,Robbery,74
1998,72,Theft,894
1998,72,Vehicle Theft,203
1998,72,Violent Crimes Total,150
1998,73,Aggravated Assault,26
1998,73,Homicide,2
1998,73,NonResidential Burglary,46
1998,73,Property Crimes Total,684
1998,73,Rape,2
1998,73,Residential Burglary,14
1998,73,Robbery,25
1998,73,Theft,480
1998,73,Vehicle Theft,143
1998,73,Violent Crimes Total,55
1998,74,Aggravated Assault,27
1998,74,Homicide,0
1998,74,NonResidential Burglary,21
1998,74,Property Crimes Total,769
1998,74,Rape,2
1998,74,Residential Burglary,68
1998,74,Robbery,29
1998,74,Theft,591
1998,74,Vehicle Theft,89
1998,74,Violent Crimes Total,58
1998,75,Aggravated Assault,33
1998,75,Homicide,0
1998,75,NonResidential Burglary,48
1998,75,Property Crimes Total,764
1998,75,Rape,2
1998,75,Residential Burglary,60
1998,75,Robbery,41
1998,75,Theft,586
1998,75,Vehicle Theft,69
1998,75,Violent Crimes Total,76
1998,76,Aggravated Assault,9
1998,76,Homicide,0
1998,76,NonResidential Burglary,11
1998,76,Property Crimes Total,207
1998,76,Rape,2
1998,76,Residential Burglary,26
1998,76,Robbery,16
1998,76,Theft,141
1998,76,Vehicle Theft,27
1998,76,Violent Crimes Total,27
1998,77,Aggravated Assault,24
1998,77,Homicide,0
1998,77,NonResidential Burglary,15
1998,77,Property Crimes Total,230
1998,77,Rape,0
1998,77,Residential Burglary,41
1998,77,Robbery,12
1998,77,Theft,134
1998,77,Vehicle Theft,39
1998,77,Violent Crimes Total,36
1998,78,Aggravated Assault,4
1998,78,Homicide,1
1998,78,NonResidential Burglary,13
1998,78,Property Crimes Total,283
1998,78,Rape,3
1998,78,Residential Burglary,35
1998,78,Robbery,7
1998,78,Theft,182
1998,78,Vehicle Theft,52
1998,78,Violent Crimes Total,15
1998,79,Aggravated Assault,36
1998,79,Homicide,0
1998,79,NonResidential Burglary,43
1998,79,Property Crimes Total,384
1998,79,Rape,5
1998,79,Residential Burglary,55
1998,79,Robbery,36
1998,79,Theft,241
1998,79,Vehicle Theft,44
1998,79,Violent Crimes Total,77
1998,8,Aggravated Assault,0
1998,8,Homicide,0
1998,8,NonResidential Burglary,2
1998,8,Property Crimes Total,94
1998,8,Rape,1
1998,8,Residential Burglary,19
1998,8,Robbery,1
1998,8,Theft,58
1998,8,Vehicle Theft,15
1998,8,Violent Crimes Total,0
1998,80,Aggravated Assault,103
1998,80,Homicide,1
1998,80,NonResidential Burglary,56
1998,80,Property Crimes Total,1059
1998,80,Rape,18
1998,80,Residential Burglary,40
1998,80,Robbery,61
1998,80,Theft,822
1998,80,Vehicle Theft,138
1998,80,Violent Crimes Total,183
1998,81,Aggravated Assault,215
1998,81,Homicide,1
1998,81,NonResidential Burglary,179
1998,81,Property Crimes Total,3378
1998,81,Rape,18
1998,81,Residential Burglary,28
1998,81,Robbery,182
1998,81,Theft,2999
1998,81,Vehicle Theft,168
1998,81,Violent Crimes Total,416
1998,82,Aggravated Assault,20
1998,82,Homicide,1
1998,82,NonResidential Burglary,69
1998,82,Property Crimes Total,964
1998,82,Rape,3
1998,82,Residential Burglary,9
1998,82,Robbery,34
1998,82,Theft,805
1998,82,Vehicle Theft,80
1998,82,Violent Crimes Total,58
1998,83,Aggravated Assault,13
1998,83,Homicide,0
1998,83,NonResidential Burglary,11
1998,83,Property Crimes Total,321
1998,83,Rape,0
1998,83,Residential Burglary,14
1998,83,Robbery,8
1998,83,Theft,246
1998,83,Vehicle Theft,49
1998,83,Violent Crimes Total,21
1998,84,Aggravated Assault,29
1998,84,Homicide,0
1998,84,NonResidential Burglary,27
1998,84,Property Crimes Total,563
1998,84,Rape,1
1998,84,Residential Burglary,22
1998,84,Robbery,32
1998,84,Theft,459
1998,84,Vehicle Theft,54
1998,84,Violent Crimes Total,62
1998,85,Aggravated Assault,61
1998,85,Homicide,3
1998,85,NonResidential Burglary,23
1998,85,Property Crimes Total,529
1998,85,Rape,3
1998,85,Residential Burglary,28
1998,85,Robbery,26
1998,85,Theft,396
1998,85,Vehicle Theft,81
1998,85,Violent Crimes Total,93
1998,86,Aggravated Assault,36
1998,86,Homicide,2
1998,86,NonResidential Burglary,19
1998,86,Property Crimes Total,368
1998,86,Rape,1
1998,86,Residential Burglary,30
1998,86,Robbery,14
1998,86,Theft,269
1998,86,Vehicle Theft,48
1998,86,Violent Crimes Total,53
1998,87,Aggravated Assault,55
1998,87,Homicide,2
1998,87,NonResidential Burglary,30
1998,87,Property Crimes Total,408
1998,87,Rape,6
1998,87,Residential Burglary,63
1998,87,Robbery,39
1998,87,Theft,260
1998,87,Vehicle Theft,50
1998,87,Violent Crimes Total,102
1998,88,Aggravated Assault,52
1998,88,Homicide,0
1998,88,NonResidential Burglary,17
1998,88,Property Crimes Total,351
1998,88,Rape,2
1998,88,Residential Burglary,61
1998,88,Robbery,51
1998,88,Theft,225
1998,88,Vehicle Theft,43
1998,88,Violent Crimes Total,105
1998,89,Aggravated Assault,36
1998,89,Homicide,0
1998,89,NonResidential Burglary,16
1998,89,Property Crimes Total,520
1998,89,Rape,5
1998,89,Residential Burglary,96
1998,89,Robbery,26
1998,89,Theft,349
1998,89,Vehicle Theft,56
1998,89,Violent Crimes Total,67
1998,9,Aggravated Assault,1
1998,9,Homicide,0
1998,9,NonResidential Burglary,0
1998,9,Property Crimes Total,59
1998,9,Rape,0
1998,9,Residential Burglary,10
1998,9,Robbery,0
1998,9,Theft,42
1998,9,Vehicle Theft,7
1998,9,Violent Crimes Total,1
1998,90,Aggravated Assault,21
1998,90,Homicide,1
1998,90,NonResidential Burglary,40
1998,90,Property Crimes Total,392
1998,90,Rape,4
1998,90,Residential Burglary,24
1998,90,Robbery,25
1998,90,Theft,292
1998,90,Vehicle Theft,34
1998,90,Violent Crimes Total,51
1998,91,Aggravated Assault,29
1998,91,Homicide,1
1998,91,NonResidential Burglary,29
1998,91,Property Crimes Total,507
1998,91,Rape,2
1998,91,Residential Burglary,11
1998,91,Robbery,22
1998,91,Theft,376
1998,91,Vehicle Theft,90
1998,91,Violent Crimes Total,54
1998,92,Aggravated Assault,79
1998,92,Homicide,3
1998,92,NonResidential Burglary,32
1998,92,Property Crimes Total,467
1998,92,Rape,9
1998,92,Residential Burglary,16
1998,92,Robbery,60
1998,92,Theft,355
1998,92,Vehicle Theft,63
1998,92,Violent Crimes Total,151
1998,93,Aggravated Assault,52
1998,93,Homicide,2
1998,93,NonResidential Burglary,156
1998,93,Property Crimes Total,1453
1998,93,Rape,6
1998,93,Residential Burglary,29
1998,93,Robbery,32
1998,93,Theft,1094
1998,93,Vehicle Theft,173
1998,93,Violent Crimes Total,92
1998,94,Aggravated Assault,46
1998,94,Homicide,2
1998,94,NonResidential Burglary,20
1998,94,Property Crimes Total,448
1998,94,Rape,3
1998,94,Residential Burglary,70
1998,94,Robbery,27
1998,94,Theft,238
1998,94,Vehicle Theft,116
1998,94,Violent Crimes Total,78
1998,95,Aggravated Assault,28
1998,95,Homicide,0
1998,95,NonResidential Burglary,22
1998,95,Property Crimes Total,522
1998,95,Rape,3
1998,95,Residential Burglary,50
1998,95,Robbery,23
1998,95,Theft,345
1998,95,Vehicle Theft,101
1998,95,Violent Crimes Total,54
1998,96,Aggravated Assault,11
1998,96,Homicide,0
1998,96,NonResidential Burglary,15
1998,96,Property Crimes Total,215
1998,96,Rape,1
1998,96,Residential Burglary,31
1998,96,Robbery,4
1998,96,Theft,129
1998,96,Vehicle Theft,39
1998,96,Violent Crimes Total,16
1998,97,Aggravated Assault,6
1998,97,Homicide,0
1998,97,NonResidential Burglary,10
1998,97,Property Crimes Total,356
1998,97,Rape,0
1998,97,Residential Burglary,41
1998,97,Robbery,6
1998,97,Theft,231
1998,97,Vehicle Theft,74
1998,97,Violent Crimes Total,12
1998,98,Aggravated Assault,7
1998,98,Homicide,1
1998,98,NonResidential Burglary,13
1998,98,Property Crimes Total,321
1998,98,Rape,1
1998,98,Residential Burglary,27
1998,98,Robbery,6
1998,98,Theft,214
1998,98,Vehicle Theft,65
1998,98,Violent Crimes Total,15
1998,99,Aggravated Assault,21
1998,99,Homicide,0
1998,99,NonResidential Burglary,31
1998,99,Property Crimes Total,408
1998,99,Rape,2
1998,99,Residential Burglary,51
